Country,Price
Switzerland,27.62
Denmark,21.77
United States,20
Luxembourg,19.49
Belgium,19.49
Israel,19
United Kingdom,18.92
Norway,18.61
Canada,18.35
Netherlands,17.33
Ireland,17.33
Australia,16.61
Malta,16.24
Italy,16.24
Greece,16.24
France,16.24
Cyprus,16.24
Austria,16.24
Uruguay,16.08
Finland,15.16
New Zealand,15.16
Germany,14.08
Spain,13
Estonia,13
Slovenia,11.91
Lithuania,11.91
Sweden,11.59
Croatia,11.45
Singapore,11.12
Portugal,10.83
Latvia,10.83
Albania,10.76
Hungary,10.74
Bulgaria,10.41
Armenia,10.08
Venezuela,10
Panama,10
Romania,9.79
Costa Rica,9.76
Mexico,9.75
Georgia,9.36
Kazakhstan,9.08
Poland,8.89
Hong Kong (China),8.84
Azerbaijan,8.82
Chile,8.75
Czech Republic,8.69
Slovakia,8.66
Serbia,8.32
Qatar,8.24
South Africa,8.17
United Arab Emirates,8.17
Turkey,7.74
Russia,7.66
Belarus,7.64
South Korea,7.37
Moldova,7.33
Jordan,7.05
Cuba,7
Argentina,7
Palestine,6.79
Jamaica,6.7
Saudi Arabia,6.67
Kuwait,6.51
Mauritius,6.5
Japan,6.42
Ukraine,6.32
Brazil,5.85
Bosnia And Herzegovina,5.47
North Macedonia,5.27
Oman,5.2
Uzbekistan,4.84
Iraq,4.78
Taiwan,4.67
Colombia,4.64
Libya,4.12
Peru,4.03
Kenya,3.85
Egypt,3.84
Iran,3.78
Ecuador,3.5
Morocco,3.5
Philippines,3.48
China,3.46
Tunisia,3.2
Malaysia,3.08
India,2.99
Sri Lanka,2.99
Bolivia,2.89
Thailand,2.74
Algeria,2.57
Nigeria,2.28
Vietnam,1.96
Indonesia,1.88
Nepal,1.87
Pakistan,1.8
Bangladesh,1.71
