Country,Public Transportation Cost (USD)
Switzerland,$304.52
France,$268.23
Liechtenstein,$266.77
Iceland,$218.92
Luxembourg,$211.54
Denmark,$207.32
Netherlands,$202.24
Italy,$191.83
Andorra,$189.39
United Kingdom,$187.62
Finland,$181.37
Austria,$173.87
Spain,$172.65
Ireland,$164.83
Belgium,$164.09
Sweden,$148.84
Slovakia,$146.23
Turkey,$140.79
Malta,$135.44
Latvia,$130.78
Portugal,$122.52
Montenegro,$120.44
Czech Republic,$119.25
Estonia,$117.95
Cyprus,$114.49
Croatia,$109.16
Slovenia,$107.73
Lithuania,$106.34
Romania,$88.70
Albania,$86.22
Bosnia and Herzegovina,$79.05
Bulgaria,$74.15
Belarus,$72.28
Russia,$70.39
Poland,$68.82
Serbia,$42.05
Georgia,$35.56
Armenia,$31.60
Ukraine,$26.53
Azerbaijan,$0.00
Maldives,$303.13
Hong Kong,$173.58
Singapore,$155.51
Macao,$145.78
Taiwan,$95.03
Bhutan,$91.35
Malaysia,$81.73
Thailand,$80.94
China,$79.27
Philippines,$66.03
Cambodia,$62.32
Indonesia,$59.63
Vietnam,$59.28
Myanmar,$55.30
Pakistan,$52.55
Bangladesh,$51.85
Sri Lanka,$51.60
Nepal,$39.77
India,$39.27
Mongolia,$25.75
Kazakhstan,$21.53
Laos,$14.82
United States of America,$284.40
Canada,$172.56
Mexico,$128.42
Chile,$106.11
Uruguay,$81.14
Paraguay,$75.10
Ecuador,$63.28
Bolivia,$52.40
Colombia,$45.37
Argentina,$10.40
Zambia,$945.11
Seychelles,$201.80
Senegal,$153.15
Cape Verde,$140.71
Swaziland (now Eswatini),$126.34
Kenya,$119.37
Uganda,$102.67
Tanzania,$96.16
South Africa,$89.32
Madagascar,$85.08
Namibia,$75.38
Botswana,$60.62
Lesotho,$60.02
Ethiopia,$56.51
Malawi,$36.67
Mali,$32.87
Burkina Faso,$30.53
Ghana,$26.27
Rwanda,$23.26
Egypt,$16.67
Mauritania,$0.00
Mozambique,$0.00
Zimbabwe,$0.00
Australia,$31.00
